,X,text,topic,NRC_anger,NRC_anticipation,NRC_disgust,NRC_fear,NRC_joy,NRC_sadness,NRC_surprise,NRC_trust,NRC_negative,NRC_positive,sentiment_valence
2001,2000,I<U+2019>ve never experienced this much stress in my entire medical career <U+2014> treating sick young #COVID19 patients here in #NYC is beyond difficult. The fear is palpable among us all on the frontlines... please stay at home <U+2014> it means the world to us #SocialDistance,3,1,3,1,3,1,1,2,2,3,4,-0.75
2002,2001,Evening rush hour on the 2 train today <U+0001F637> @NYCTSubway @MTA This is exactly why NYC is ground zero for #COVID19 This shows @NYGovCuomo don<U+2019>t have a clue on how to stop this #virus in #nyc https://t.co/783DOC61tA,4,0,1,0,0,0,0,0,1,1,0,-0.9
2003,2002,Doing all I can to answer questions abt govt response to #COVID19. Over 19k people called in to my 1st #covid19 tele town hall &amp; &gt;15k people called in to my 2nd. Never hesitate to call elected reps or fed agencies to learn how govt is helping U during this crisis! U deserve info!,4,1,1,0,0,0,0,0,1,1,2,0.3
2004,2003,"Since I fear our standards for national pandemic response are being recalibrated, remember S. Korea has 1/6th the population of the US, but 1/53 the # of #COVID19 deaths to date (183) as the US (9,619). Both countries found their 1st case Jan 20. Scaled would be 1,166 US deaths.",4,1,0,0,3,1,2,0,1,3,2,-1.15
2005,2004,"Excellent tuto pour ceux qui n<U+2019>ont pas de masques. Prot<U+00E9>geons nous les uns les autres 
#COVID19 #confinement 
https://t.co/dA9yfVCnXN",4,1,0,0,1,1,1,0,1,1,1,0.5
2006,2005,"Tomorrow #PAHouse Republicans are going to stay-at-home while voting to force workers across the state to choose between going to their jobs or protecting their health. 

We're still weeks away from the #COVID19 #Coronavirus peak in PA.",1,1,1,0,1,0,0,0,1,1,1,0.2
2007,2006,The Tennessee Medical Reserve Corp. (MRC) Volunteer Program is seeking trained health professionals to join the fight against COVID-19. Get more information and begin the registration process at: https://t.co/8LXyEqUq85<U+2026>/cedep-emergen<U+2026>/volunteer-mobilizer.html. #COVID19 https://t.co/LcxQGCfbqH,3,1,2,0,3,1,0,0,2,1,5,1.35
2008,2007,"Trump wants all 50 states to independently orchestrate the National response to a Pandemic. And yet he holds back ventilators and PPE saying, ""We don't think they need it"".

Trump is doing Putin's bidding. He's trying to deconstruct our Democracy. 

#COVID19 #Coronavirus",1,0,0,0,1,0,1,1,0,1,1,-0.7
2009,2008,"En el informe de @lopezobrador_ no se anunci<U+00F3> ninguna medida relevante para afrontar la crisis econ<U+00F3>mica del #COVID19.  En plena emergencia, ley<U+00F3> una pieza de divulgaci<U+00F3>n ideol<U+00F3>gica, embistiendo fantasmas del pasado y abandonando su deber como Jefe de Estado para unir a la Naci<U+00F3>n https://t.co/ldeCYZIIuC",5,0,0,0,0,0,0,0,0,1,0,-0.75
2010,2009,"1/7 #COVID19 key concerns in <U+0001F1E8><U+0001F1E6>: ongoing community spread, cases/outbreaks linked to high-risk settings and deep concern and sadness at increasing numbers of deaths reported. 
#StayHomeSaveLives 
#ProtecttheVulnerable",4,0,1,0,0,0,1,0,1,1,2,-1.1
2011,2010,"<U+201C>I<U+2019>d love to test things in laboratories for two years, but we don<U+2019>t have two years. We don<U+2019>t have two hours!<U+201D>
- @realDonaldTrump

But we did have over TWO MONTHS when you did nothing to prepare the country for the Coronavirus pandemic everyone (but you) knew was coming.
#COVID19",3,0,2,0,1,1,1,0,0,1,2,-0.15
2012,2011,"Incredible work by the indefatigable Dr. @vanessagallen, head of medical microbiology at Public Health Ontario, getting the backlog of #COVID19 testing in Ontario taken care of. 

This is worth a read to understand the issues and how they were overcome.

https://t.co/dlo4EQp2w2",4,0,2,0,1,0,0,0,1,0,3,2.6
2013,2012,"@IHME_UW why give dates and not deliver without explanation?

#COVID19 #Covid_19",4,0,0,0,0,0,0,0,0,0,0,0
2014,2013,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
2015,2014,They don<U+2019>t look so menacing on phone footage #covid19 #Daleks #DoctorWho https://t.co/IRrJOFWgAP,4,1,0,0,1,0,0,0,0,1,0,-0.5
2016,2015,El presidente @lopezobrador_ anunci<U+00F3> que se eliminar<U+00E1>n los aguinaldos y bajar<U+00E1>n los sueldos de altos funcionarios -incluido <U+00E9>l mismo- para hacer frente a la crisis por #covid19 https://t.co/jLg0VCvyGV,2,0,0,0,0,0,0,0,0,1,0,-0.75
2017,2016,"HERE<U+2019>S A STAT WORTH SHARING! 

Global #COVID19 #coronavirus total recoveries have passed 250,000.

That<U+2019>s nearly 4x the number of deaths.

There 1,200,000+ confirmed cases worldwide. 

(source @JohnsHopkins) https://t.co/XoRwdxBwLx",5,0,0,0,0,0,0,0,0,0,1,1.15
2018,2017,"El #COVID19 amenaza la salud, el empleo y el ingreso de las familias de nuestros colaboradores. Es urgente adoptar medidas que protejan a las empresas de las que dependen 8 de cada 10 empleos. Presidente @lopezobrador_ , protejamos a las familias. #NoNosDetieneElVirus <U+0001F1F2><U+0001F1FD> https://t.co/RrvOlOTJd9",5,0,0,0,0,0,0,0,0,0,0,0
2019,2018,"California: @GavinNewsom we want to look after your mental health during #Covid19 take care of yourself, watch your levels of anxiety and stress. 

Also California: YOU WILL GET A TICKET FOR WATCHING THE SUNSET YOU HEATHENS. 
https://t.co/MDr8JCUh31",3,1,3,0,2,0,1,0,0,2,1,-0.75
2020,2019,"Y como regalo tambi<U+00E9>n a los pioneros cubanos, Lincom nos env<U+00ED>a este mensaje muy oportuno en tiempos d #COVID19. A estudiar mucho para crecer. En la imagen est<U+00E1> Lincom con nuestro presidente @DiazCanelB #Qu<U+00E9>dateEnCasa @SecUJCuba @RosaMar29840346 @elsa_ena @CubaMjm2 https://t.co/fwdmiG4kVJ",2,0,0,0,0,0,0,0,0,0,0,-0.25
2021,2020,El n<U+00FA>mero de mexicanos muertos en EU por #covid19 suma casi 50 en varios puntos de ese pa<U+00ED>s; el consulado de Nueva York se ha quedado sin recursos para repatriar los cuerpos https://t.co/DLKrag2Afp,2,1,0,1,1,0,1,0,0,1,0,-0.75
2022,2021,<U+0001F6A8>@realdonaldtrump has promised more #PPE is on the way. But nurses like David know the truth. David<U+2019>s #message2trump shows what is really happening on the frontlines of the #COVID19 crisis #getmePPE https://t.co/0jXfZBe7bh,1,0,0,0,0,0,0,0,1,1,1,1.25
