,X,text,topic,NRC_anger,NRC_anticipation,NRC_disgust,NRC_fear,NRC_joy,NRC_sadness,NRC_surprise,NRC_trust,NRC_negative,NRC_positive,sentiment_valence
3001,3000,"Interesting <U+2066>@business<U+2069> article about research that shows pandemics can give workers the upper hand but growth does not surge in the same way as after wars, physical assets do not need rebuilding in the same way. 
#COVID19
 https://t.co/nIQNVpkZ3F",4,0,0,0,0,0,0,1,0,0,3,1.55
3002,3001,"Need #COVID19 information in a different language? Check out CDC<U+2019>s COVID-19 web pages in Spanish, simplified Chinese, Vietnamese, and Korean: https://t.co/tt49zOn1hf. https://t.co/tpX4Z3l9xr",4,0,0,0,0,0,0,0,0,0,1,0.8
3003,3002,"Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this an extra $300 -$1500 through CashApp andApple Pay <U+0001F3E6> (dm me with all cashtags and phone numbers) <U+0001F973><U+2764><U+FE0F> 
#CashAppWisdom#ApplePayWisdom https://t.co/1h80MjuREI",1,1,1,1,1,1,1,0,1,1,2,-0.6
3004,3003,"Nada. 
@lopezobrador_ elude conducir la crisis como Jefe de Estado. Refrenda el clientelismo electoral del @GobiernoMX. Mantiene obras fara<U+00F3>nicas, mientras faltan insumos y  medicamentos para atacar el #Covid19. Su falta de visi<U+00F3>n estrat<U+00E9>gica da<U+00F1>ar<U+00E1> profundamente al pa<U+00ED>s.",5,0,0,0,0,0,0,0,0,1,0,-0.75
3005,3004,"As our friends and colleagues brave the font lines, we must also get ready for a series of aftershocks. It's very hard to plan this far ahead while we're in survival mode. We must prepare early and strategize our response to the collateral damage of #COVID19 https://t.co/YF7bif5PeK",1,1,3,1,1,0,1,0,2,1,2,1.8
3006,3005,"THREAD: One piece of non-scientific evidence that would nonetheless inform discussion on hydroxychloroquine in the proposed treatment of #COVID19 would be a survey on how widely it was already being used in U.S., Italy, and some other countries, long before current debate. 1/3",4,0,1,0,0,0,0,0,1,0,2,0.15
3007,3006,"<U+0001F6A8> There is an INCREASE in #Coronavirus / #COVID19 DEATHS among people in their 30s and 40s in the United States / U.S.

#CORONAVIRUS / #COVID19 DOES NOT CARE ABOUT:

AGE
RACE
RELIGION
SEX
SEXUAL ORIENTATION
POLITICS
NATIONALITY
LANGUAGE
INCOME
EDUCATION

@HubBucket @ProsumerSoft https://t.co/IHSOrRebSP",3,1,2,0,0,2,1,0,4,1,4,2.1
3008,3007,"It is DESPICABLE &amp; unconstitutional for pro-abortion bureaucrats to order the arrest of peaceful Americans who pray &amp; offer hope outside abortion facilities, all while allowing the lethal abortion industry to continue killing innocent children during a pandemic. #COVID19",3,1,3,2,4,2,4,2,4,5,4,-1.1
3009,3008,"I would be kicked out the briefing room. My verbal reflexes would not allow me to keep quiet while he belittles journalists! 

#CoronaVirusUpdate #TrumpPandemic #COVID19",3,0,0,0,0,0,1,0,0,0,1,0.5
3010,3009,"Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashApp , Zelle , Venmo or Apple Pay #  drop all tags in comments) DM ME WHEN DONE <U+2705> 
#cashapp #SundayMorning #vaccine #lockdown https://t.co/Hn31Q9Omnl",1,1,0,1,1,0,1,0,0,1,1,-0.5
3011,3010,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
3012,3011,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
3013,3012,"Au <U+0001F1E8><U+0001F1E6>, ns continuons de faire des tests <U+00E0> un niveau <U+00E9>lev<U+00E9> pour diagnostiquer la #COVID19. Plus de 320 000 pers. ont <U+00E9>t<U+00E9> test<U+00E9>es <U+00E0> ce jour, et env. 5 % d<U+2019>entre elles ont re<U+00E7>u un diagnostic positif. Ns maintenons donc un bon taux de sensibilit<U+00E9> <U+00E0> #TesterEtDetecter la maladie au <U+0001F1E8><U+0001F1E6>.",4,0,0,0,0,0,0,0,0,0,0,0
3014,3013,"<U+0001F6A8><U+0001F6A8><U+0001F6A8>[ALERT]<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Commerce City Soldiers of Odin Neo-Nazis are scamming #COVID19 Mutual Aid Projects Across the Country

Do not provide aid to Nazi scammers Ed Lif &amp; Jamie Henry Nelson to any of their aliases published on our blog<U+0001F447><U+0001F447><U+0001F447>

https://t.co/vEvZKcWrqY https://t.co/LFqWSK24lO",5,0,0,0,0,0,0,0,2,0,3,2.4
3015,3014,"So much immune boost bunk it is hard to keep up! In general, can ignore it all, especially when it comes from people selling stuff (I'm talking about you, @TomBrady!).  

Say no to the boost bunk from chiropractors, naturopaths, homeopaths and the #GOAT. <U+0001F410>

#COVID19 #coronavirus https://t.co/1vPiaWJOKa",3,0,0,0,0,0,0,0,1,1,1,0.05
3016,3015,"US has now tested for #COVID19 and gotten results of 1.67 million people, according to @POTUS.",3,0,0,0,0,0,0,0,0,0,0,0.25
3017,3016,El subsecretario @HLGatell se<U+00F1>ala que la fase 3 de #Covid19 llegar<U+00E1> en aproximadamente dos o tres semanas. Reitera el #Qu<U+00E9>dateEnCasa https://t.co/8HHOjX337F,5,0,0,0,0,0,0,0,0,0,0,0
3018,3017,<U+0001F6A8> #<U+00DA>LTIMAHORA | Suma #M<U+00E9>xico 2 mil 143 casos y 94 decesos por #COVID19 https://t.co/znBhRrqy6H https://t.co/umKGIciEXr,2,0,0,0,0,0,0,0,0,0,0,0
3019,3018,"#An<U+00E1>lisis | La columna de hoy de @erickbecerra1.
AMLO, incapaz de construir la recuperaci<U+00F3>n econ<U+00F3>mica a causa del #COVID19 y va s<U+00F3>lo (y solo) por votos https://t.co/HkqmUtAiMY https://t.co/1mN57saWzy",2,0,0,0,0,0,0,0,0,0,0,0
3020,3019,"There have been 21 confirmed Line of Duty deaths of police officers nationwide due to #Covid19. Male/Female, Old/Young the virus does not discriminate. Please keep all medical personnel, first responders, and front line personnel in your thoughts and prayers. We truly need them.",3,1,1,0,2,0,1,0,2,2,2,-0.25
3021,3020,"Encouraging signs #COVID19 spread may be slowing in many cities, especially northeast. Mitigation is working. New cases are nonetheless still building nationally; and southeast, New Orleans, sunbelt, southern California, Detroit, among others; remain areas of significant concern. https://t.co/2WrB6tYher",3,0,0,0,0,0,0,0,0,0,2,2.05
3022,3021,"1/7 #COVID19 key concerns in <U+0001F1E8><U+0001F1E6>: ongoing community spread, cases/outbreaks linked to high-risk settings and deep concern and sadness at increasing numbers of deaths reported. 
#StayHomeSaveLives 
#ProtecttheVulnerable",4,0,1,0,0,0,1,0,1,1,2,-1.1
3023,3022,"@LeadingEdgePT @StanKutcher @picardonhealth @WHO @GidMK @TheSGEM @DrPChouinard @GlobeDebate Yes! Don't lose trust or get frustrated with a voice that changes its position (@GovCanHealth, @WHO, @CDCgov).  

On the contrary, we want those that are monitoring &amp; aggregating the #COVID19 science to stay nimble and be responsive.

Science is a process. Not a list of facts.",3,2,1,1,1,0,1,1,3,3,2,1.25
3024,3023,Half of farm workers currently in the fields have been excluded from relief funds and unemployment in the #COVID19 stimulus bill. As #EssentialWorkers farm workers are working in fear. Act now @<U+00A0>https://t.co/Tag5rj1OTt<U+00A0>#WeFeedYou https://t.co/AQ7ImmPrYw,1,1,1,1,1,0,1,0,0,2,2,-1.1
3025,3024,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
3026,3025,A T-Rex joined in on Toronto's daily cheer celebrating healthcare workers - <U+0001F4F9> Candace Shaw https://t.co/00loEqiWvy #Toronto #Coronavirus #COVID19 #COVIDToronto #ourcommunityTO https://t.co/pfbamf6hbD,1,0,3,0,0,2,0,1,1,0,3,2.1
3027,3026,Learn how to handle #crisiscommunications in the real estate sector (or any sector) during the #COVID19 crisis. Listen to ICR partner Jason Chudoba discuss best practices on the @GowerCrowd podcast: https://t.co/FSeuXs4LZc,3,0,0,0,0,0,0,0,1,1,3,1.6
3028,3027,"HERE<U+2019>S A STAT WORTH SHARING! 

Global #COVID19 #coronavirus total recoveries have passed 250,000.

That<U+2019>s nearly 4x the number of deaths.

There 1,200,000+ confirmed cases worldwide. 

(source @JohnsHopkins) https://t.co/XoRwdxBwLx",5,0,0,0,0,0,0,0,0,0,1,1.15
3029,3028,"Nadia, a 4-year-old female Malayan tiger at the @BronxZoo, has tested positive for #COVID19, according to @TheWCS. https://t.co/XOJqi9GBJc",5,0,0,0,0,0,0,0,0,0,1,1.15
3030,3029,"EXCLUSIVE: @realDonaldTrump's campaign has been quietly calling local restaurants and ordering large amounts of food to be delivered to hospitals in an effort to feed doctors,nurses&amp; first responders and support local restaurants #coronavirus #COVID19 

https://t.co/6A3Zfe5QEz",4,0,0,0,0,1,0,0,1,0,2,0.65
3031,3030,"<U+0001F483><U+0001F3FD>Baile
<U+0001F9D8><U+0001F3FB>Estiramiento
<U+0001F938><U+0001F3FE>Clases de cardio en internet

Hay muchas formas de mantenerse activo desde la casa durante la pandemia del #COVID19.
M<U+00E1>s consejos en este D<U+00ED>a del Deporte para el Desarrollo y la Paz: https://t.co/Hj1MCK4G4v <U+0001F4F7>: Daniela Gim<U+00E9>nez, atleta argentina https://t.co/LYlp25QIC4",2,0,0,0,0,0,0,0,0,0,0,0
3032,3031,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
3033,3032,"Governments &amp; the international development community must quickly mobilize efforts to mitigate the impacts of #COVID19 to protect the food security of vulnerable people.

Read @Devex's piece on addressing the impact of COVID-19 on global food systems. https://t.co/JSqmT8o34E",3,0,0,0,0,1,0,0,1,0,3,1.65
3034,3033,#WhereAreTheTests #COVID19 https://t.co/0zzfvpkY0K,1,0,0,0,0,0,0,0,0,0,0,0
3035,3034,"<U+0001F631>OMG...

#coronavirus #COVID19 #CoronavirusPandemic https://t.co/5TZ96Wkoza",1,0,0,0,0,0,0,0,0,0,0,0
3036,3035,"In January I got very sick (flu like illness but much worse), no sleep for 2 days and almost checked myself into the ED.  Had no idea what it was.  Today I checked my #COVID19 Antibody status......IgG+ Only (sign of past infection).  Mixed emotions<U+0001F644>.  Will retest tomorrow. https://t.co/ExLYi5qPBx",3,0,1,1,3,0,3,0,0,4,0,-2.5
3037,3036,M<U+00E1>s consejos para los animales y sus humanos  en medio de esta pandemia de #Covid19 https://t.co/0AMn59JBUi,2,0,0,0,0,0,0,0,0,0,0,0
3038,3037,"Di positivo a #Covid19 tuve miedo y  he llorado... pero tambi<U+00E9>n tengo amor a la distancia de mexicanos, solidarios , amorosos y creativos... hay una sillita afuera de mi depa donde mis vecinos me dejan comida y mis amigos flores.. <U+0001F62D><U+0001F97A><U+0001F64F><U+0001F49A> https://t.co/saK8KfUxXy",2,0,0,0,0,0,0,0,0,0,0,0
3039,3038,"Canada has 15,407 cases and 277 deaths.
Israel has 8,018 cases and only 47 deaths. 
Taiwan has 345 cases and 5 deaths.

The numbers are a reflection of Trudeau's policy. Is it any wonder that he doesn't want to release the projections? 

#Cdnpoli #COVID19 https://t.co/qUaMwnO3k4",3,0,0,0,0,0,0,0,1,0,1,0
3040,3039,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
3041,3040,"New data shows 40-80 percent decrease in vessel activity across major ports in China, serving as an economic barometer during the #COVID19 crisis. By analyzing marine RF signals, our dynamic data visualization shows the economic impact of the #Wuhan lockdown.",4,0,0,0,0,0,0,1,1,2,1,0.7
3042,3041,Introverts watching the rest of y<U+2019>all have meltdowns during the #COVID19 quarantine  https://t.co/uOlNwVDwgF,1,0,0,0,1,0,0,0,0,0,1,0
3043,3042,"@NVHealthRespon1 @reviewjournal @GovSisolak #AllInThisTogether is just a dumb slogan like #HomeMeansNevada since you won<U+2019>t fire EXTORTIONIST NVDHHS Director #RichardWhitley who made this #WheelchairUser pay to keep my home. #COVID19
SISOLAK EMAIL:https://t.co/z28sEfv2Uc.
GoFundMe/Video:https://t.co/Egn35Gzyye.",4,0,1,0,1,1,0,0,2,1,2,-0.35
3044,3043,"A ti, due<U+00F1>o de una #MiPYME queremos decirte que #EstamosContigo. Hemos propuesto al @GobiernoMX medidas que te permitan seguir dando empleo y hacer frente al #COVID19. Presidente, no le d<U+00E9> la espalda a quienes dan vida y empleo a M<U+00E9>xico #NoNosDetieneElVirus <U+0001F1F2><U+0001F1FD> https://t.co/1tUnxWPn4b",2,0,0,0,0,0,0,0,0,0,0,0
3045,3044,El gobierno ha dejado la estrategia para enfrentar #COVID19 en manos de los cient<U+00ED>ficos. https://t.co/pOjaAG5cXn,2,0,0,0,0,0,0,0,0,0,0,0
3046,3045,"M<U+00E9>xico suma 253 nuevos casos de #covid19; es el mayor aumento desde el inicio de la pandemia en el pa<U+00ED>s.

MUY IMPORTANTE hacer conciencia que estos d<U+00ED>as NO son vacaciones.

<U+00A1><U+00A1><U+00A1>#Qu<U+00E9>dateEnCasa: cuida tu salud y la de tu familia!!! https://t.co/ZA5nvarzzx",5,0,0,0,0,0,0,0,0,0,1,0
3047,3046,"This is proof the #Democrats were ready before the #GOP .... #COVID19

https://t.co/zD0FkdOJVd",1,0,1,0,0,0,0,0,1,0,0,0.8
3048,3047,"Apr 5 @WADeptHealth #coronavirus #COVID19 statewide report:

- 7,984 confirmed cases (+393)
- 338 deaths (+28)
- &lt;Testing data appears to be lagging, so I won't report it today&gt;

These are people, not numbers.

Source: https://t.co/jr3kdrh0N9 https://t.co/5vS3Z4nJ47 https://t.co/6vXd0bNO1F",3,1,2,1,0,0,1,0,1,1,2,-0.5
