,X,text,topic,NRC_anger,NRC_anticipation,NRC_disgust,NRC_fear,NRC_joy,NRC_sadness,NRC_surprise,NRC_trust,NRC_negative,NRC_positive,sentiment_valence
1001,1000,"Dr. Shiva is an MIT PhD in Biological Engineering. 
He believes the fearing mongering #COVID19 is really being used by the Deep State to crash Trump's economy for political gain.
Dr Anthony Fauci represents multiple leftist entities to undermine Trump's #MAGA.   
#Trump2020 #KAG https://t.co/8L6ZGwvHG5",1,0,1,0,2,1,1,2,1,2,1,-1.35
1002,1001,"The #COVID19 case count for Tennessee is now 3,633 as of April 5. (Due to a data error in the April 4 report, the recovered calculation decreased. The error which led to an incorrect value has been corrected). For county-level data, go to: https://t.co/Pwof6IANuV. https://t.co/LaBrpAyoLH",4,0,1,0,1,0,2,0,1,3,1,-1.1
1003,1002,"M<U+00E9>xico es el segundo pa<U+00ED>s con menos infectados de #Covid19 despu<U+00E9>s de la India y el tercero con menos defunciones por n<U+00FA>mero de habitantes, inform<U+00F3> @lopezobrador_ en su Informe de Gobierno <U+0001F449> https://t.co/jkQ02UOaCq https://t.co/gRu1ffwemG",2,0,0,0,0,0,0,0,0,0,0,-0.25
1004,1003,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
1005,1004,"<U+26A0><U+FE0F>@SpeakerPelosi is pushing a 4th #coronavirus bill with extended unemployment, health insurance for laid-off, hazard pay for healthcare/essential workers, free #COVID19 treatment, more money for states and $$ to Americans.

Mitch McConnell OPPOSES it.<U+0001F92C>
https://t.co/DnXXWsIHHI",4,1,2,0,1,2,0,1,2,1,2,-0.95
1006,1005,"California is working around the clock to get the medical supplies needed to fight #COVID19.

Today, Governor @GavinNewsom announced a new website to get critical medical supplies to the front lines of CA<U+2019>s fight against COVID-19.

<U+0001F4F2>https://t.co/D9U0qiDiJQ 

#StayHomeSaveLives https://t.co/QrncaRKdf9",3,1,2,0,3,0,0,0,1,1,3,-0.0499999999999999
1007,1006,"#EnVivo Conferencia de prensa sobre el #COVID19, del d<U+00ED>a de hoy, 5 de abril de 2020. #Qu<U+00E9>dateEnCasaYa https://t.co/UQKcOLVPtM",5,0,0,0,0,0,0,0,0,0,0,0
1008,1007,"<U+303D><U+FE0F><U+00BF>Por que #COVID19 causa Anosmia?

<U+0001F530>Las neuronas sensoriales olfatorias NO expresan 2 genes primordiales requeridos para la entrada de CoV-2 (ACE2 y TMPRSS2)

<U+0001F4A1>En contraste c<U+00E9>lulas epiteliales olfatorias de soporte expresan ambos genes,al igual que del epitelio respirat nasal https://t.co/tQn6VShBUG",4,0,0,0,0,0,0,0,0,0,1,0.8
1009,1008,"If you have heart disease or other chronic conditions, the best way to prevent #COVID19 is to #StayHome.

Tell us in the replies how many days you<U+2019>ve been sheltering in place. It<U+2019>s day 17 for us!  https://t.co/mzoHx8AG0U",3,1,0,1,2,0,2,0,0,2,0,-1.25
1010,1009,I worked the night shift at Sinai Health System last night. Dr. Paul Koblic worked the casino shift from 9 pm to 4 am. I'm old and he's young. He offered to stay all night if necessary to do the intubations so I wouldn't have to risk getting #COVID19. I'm crying as I write this.,3,0,2,0,1,1,1,1,1,2,1,-0.85
1011,1010,The US empire is exploiting the #COVID19 pandemic to ramp up deadly aggression around the world. Check out our new @EmpireFiles exposing this hidden escalation of imperialism https://t.co/RS70xaam01,1,2,0,1,3,0,2,0,0,4,0,-3.25
1012,1011,"#Coronavirus
#COVID19 
#TrumpPressBriefing
#ACDC

[TRUMP]
<U+2026><U+2026> remember that expression: ""nine lives, cat's eyes""",3,0,0,0,0,0,0,1,0,0,0,-0.1
1013,1012,#ConferenciaDePrensa: #Coronavirus #COVID19 #Qu<U+00E9>dateEnCasaYa | 5 de abril de 2020 https://t.co/S8A8GjneTq,1,0,0,0,0,0,0,0,0,0,0,0
1014,1013,"<U+00BF>Cu<U+00E1>l es el estado del sistema de salud nacional? @JohnMAckerman conversa con @HLGatell sobre c<U+00F3>mo se disminuy<U+00F3> la capacidad p<U+00FA>blica y de qu<U+00E9> forma nos afecta ante la pandemia por #COVID19.<U+0001F9A0>

#Di<U+00E1>logosPorLaDemocracia<U+0001F91C><U+0001F3FD>
Domingo 5 de abril, 19:30 h o aqu<U+00ED>: https://t.co/vZHprr4Zx8 https://t.co/lMkd4qLBNw",2,0,0,0,0,0,0,0,0,0,0,0
1015,1014,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
1016,1015,Great lessons on resilience and hope during . #covid19 https://t.co/qOXMv8eTfP,4,0,1,0,0,1,0,1,1,0,1,1
1017,1016,"Dr. Shiva is an MIT PhD in Biological Engineering. 
He believes the fearing mongering #COVID19 is really being used by the Deep State to crash Trump's economy for political gain.
Dr Anthony Fauci represents multiple leftist entities to undermine Trump's #MAGA.   
#Trump2020 #KAG https://t.co/8L6ZGwvHG5",1,0,1,0,2,1,1,2,1,2,1,-1.35
1018,1017,"Hoy 5 de abril, tenemos en relaci<U+00F3>n al #COVID19  en #M<U+00E9>xico:
-2,143 casos positivos
-5,209 casos sospechosos
-10,682 casos negativos 
-94 defunciones https://t.co/n371ieKhua",5,0,0,0,0,0,0,0,0,0,0,0
1019,1018,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
1020,1019,The latest DRJ Digest. https://t.co/qPxs7vC5pc Thanks to @ReginaPhelps @CDCFlu #ai #covid19,3,0,0,0,0,0,0,0,0,0,0,0
1021,1020,"I'm no medical expert or data scientist or any of that. But I have pretty good pattern recognition, and I cannot possibly see how we will get from 8K to 200K deaths in this country. And I'll slap the next person to say ""hey man do you even know what exponential means?"" #COVID19",3,2,4,1,2,2,1,2,5,2,5,1.5
1022,1021,"En el informe de @lopezobrador_ no se anunci<U+00F3> ninguna medida relevante para afrontar la crisis econ<U+00F3>mica del #COVID19.  En plena emergencia, ley<U+00F3> una pieza de divulgaci<U+00F3>n ideol<U+00F3>gica, embistiendo fantasmas del pasado y abandonando su deber como Jefe de Estado para unir a la Naci<U+00F3>n https://t.co/ldeCYZIIuC",5,0,0,0,0,0,0,0,0,1,0,-0.75
1023,1022,"#AHORA: 

La @SSalud_mx confirma lo siguiente 

-2 143 casos confirmados
-5 209 casos sospechosos
- 94 defunciones 

As<U+00ED> el panorama por el #covid19 en M<U+00E9>xico. 

PM https://t.co/kXMJiBmkRV",2,0,0,0,0,0,0,0,0,0,0,0
1024,1023,"Do not listen to 45 when he suggests untested #Hydroxychloroquine to treat #COVID19 - listen to Fauci. Don<U+2019>t listen to 45 when he says heat will kill the virus; or he won<U+2019>t wear a mask; or when he calls hospital workers thieves, or refuses natl lockdown! 45 just can<U+2019>t be trusted!",2,1,2,1,3,1,3,1,4,5,1,-2.95
1025,1024,China's massive economic 'recovery' is just as believable as their statics on #COVID19.  The communist propaganda machine is in overdrive. What does that say about China's 'facts' in trade and arms control negotiations? Completely implausible.,3,0,0,0,0,0,0,0,3,2,3,-0.45
1026,1025,"La Fase 3 por #COVID19 podr<U+00ED>a llegar en 2 a 3 semanas a nuestro pa<U+00ED>s. 

Fuente: @HLGatell https://t.co/TAn8IW4Qxs",2,0,0,0,0,0,0,0,0,0,0,0
