,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
2001,"RT @FoxNews: While talking to @UmaPemmaraju, @RealBenCarson talked about @HillaryClinton, Benghazi, and the server scandal. https://t.co/YU",FALSE,0,NA,2016-10-01 22:57:25,FALSE,NA,782353755903852548,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",teaso84,1088,TRUE,FALSE,NA,NA
2002,"RT @FoxNews: .@GovMikeHuckabee on a @HillaryClinton presidency: ""We're going to have open borders; immigration is going to be uncontrolled.",FALSE,0,NA,2016-10-01 22:57:22,FALSE,NA,782353741571915776,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pentalupi_dhpjr,447,TRUE,FALSE,NA,NA
2003,RT @TeamTrump: .@HillaryClinton ran the State Department like a friends and family program. We cannot have Crooked in the White House! http,FALSE,0,NA,2016-10-01 22:57:17,FALSE,NA,782353722806591488,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HollyCarolEarls,464,TRUE,FALSE,NA,NA
2004,"RT @FoxNews: Fox News Poll: Among independent voters, @realDonaldTrump leads @HillaryClinton 41% to 29%. https://t.co/PG29rJOS0O",FALSE,0,NA,2016-10-01 22:57:17,FALSE,NA,782353722747785216,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",DianePiette1,893,TRUE,FALSE,NA,NA
2005,"RT @FoxNews: Fox News Poll: Among independent voters, @realDonaldTrump leads @HillaryClinton 41% to 29%. https://t.co/PG29rJOS0O",FALSE,0,NA,2016-10-01 22:57:17,FALSE,NA,782353722730962944,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ludinavarrtte,893,TRUE,FALSE,NA,NA
2006,@HillaryClinton @POTUS @nytimes More interference in free market. Great. Just put thousands more out of work.,FALSE,0,HillaryClinton,2016-10-01 22:57:13,FALSE,782261041589784577,782353707564343296,1339835893,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",voluntarist1960,0,FALSE,FALSE,NA,NA
2007,@MissLizzyNJ @HillaryClinton Yeah....and she talks about Trump not being able to control himself!?!,FALSE,0,MissLizzyNJ,2016-10-01 22:57:12,FALSE,782272663997837312,782353699465146368,718561802787930113,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cherie_amedee,0,FALSE,FALSE,NA,NA
2008,RT @TeamTrump: Wondering if youre one of @HillaryClintons #BasementDwellers or #Deplorables? EASY: #FollowTheMoney https://t.co/mGnGKr1DBc,FALSE,0,NA,2016-10-01 22:57:09,FALSE,NA,782353687570178048,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LadyMSunshine,708,TRUE,FALSE,NA,NA
2009,RT @TeamTrump: Wondering if youre one of @HillaryClintons #BasementDwellers or #Deplorables? EASY: #FollowTheMoney https://t.co/mGnGKr1DBc,FALSE,0,NA,2016-10-01 22:57:08,FALSE,NA,782353685892313088,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sharonkirby45,708,TRUE,FALSE,NA,NA
2010,RT @MissLizzyNJ: @HillaryClinton you're not going to get the millennial vote by insulting the very people your policies have failed. #Basem,FALSE,0,NA,2016-10-01 22:57:06,FALSE,NA,782353674592858112,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DebraMMason1,433,TRUE,FALSE,NA,NA
