,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
3001,"RT @AmericanMex067: Not only does @HillaryClinton hate #BasementDwellers, the hypocrite likes to build walls around them. https://t.co/rGkk",FALSE,0,NA,2016-10-01 22:31:45,FALSE,NA,782347296927350784,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Katmcbeez,1144,TRUE,FALSE,NA,NA
3002,"RT @FoxNews: .@GovMikeHuckabee: ""@HillaryClinton is an elitist snob. She believes she's smarter than you."" https://t.co/Ko5R6Lx8SD",FALSE,0,NA,2016-10-01 22:31:42,FALSE,NA,782347285577465857,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",BamaLady10,843,TRUE,FALSE,NA,NA
3003,RT @FoxNews: Fox News Poll: Does @HillaryClinton's email scandal bother you? https://t.co/ud0MgUhxJj,FALSE,0,NA,2016-10-01 22:31:41,FALSE,NA,782347278409277440,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jim_Peoples_,484,TRUE,FALSE,NA,NA
3004,RT @AmericanMex067: I wonder how many #BasementDwellers would fit in @HillaryClinton's mansion. Elitist hypocrite! https://t.co/pzW7vHc4ps,FALSE,0,NA,2016-10-01 22:31:40,FALSE,NA,782347276953845761,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SerendipityMG,1491,TRUE,FALSE,NA,NA
3005,"@BenFrankB Hi,I just followed you,and together  we can help elect @HillaryClinton as President,Please follow back,Thx in advance",FALSE,0,BenFrankB,2016-10-01 22:31:38,FALSE,NA,782347265897889792,762764227052392449,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BeatDonaldTrump,0,FALSE,FALSE,NA,NA
3006,RT @TeamTrump: Wondering if youre one of @HillaryClintons #BasementDwellers or #Deplorables? EASY: #FollowTheMoney https://t.co/mGnGKr1DBc,FALSE,0,NA,2016-10-01 22:31:35,FALSE,NA,782347255349071872,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",elgomes15,708,TRUE,FALSE,NA,NA
3007,"RT @FoxNews: .@gehrig38 Rips @HillaryClinton: 'She's the Epitome of a Very Bad, Evil Human Being' https://t.co/A1sNJ02ejD https://t.co/bKI3",FALSE,0,NA,2016-10-01 22:31:34,FALSE,NA,782347249745625089,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",red_zone70,1067,TRUE,FALSE,NA,NA
3008,"RT @FoxNews: .@gehrig38 Rips @HillaryClinton: 'She's the Epitome of a Very Bad, Evil Human Being' https://t.co/A1sNJ02ejD https://t.co/bKI3",FALSE,0,NA,2016-10-01 22:31:34,FALSE,NA,782347248608968704,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",snowlady09,1067,TRUE,FALSE,NA,NA
3009,"@SmugglesDiamond @HillaryClinton 

Fabricated quote.
https://t.co/X98OldqSii https://t.co/PnKUoZz3Ph",FALSE,0,SmugglesDiamond,2016-10-01 22:31:28,FALSE,782325763949244416,782347226538401792,716718030227640320,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Steve_6895,0,FALSE,FALSE,NA,NA
3010,@mitchellvii @HillaryClinton we deplorable women will not be voting for Hillary.,FALSE,0,mitchellvii,2016-10-01 22:31:26,FALSE,782345398425903105,782347218766311424,17980523,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",pattyforTrump,0,FALSE,FALSE,NA,NA
3011,"@HillaryClinton Says the woman who calls Americans Deplorables, taco bowls, super predators, basement dwellers, Narcissitic Looney Tunes.",FALSE,0,HillaryClinton,2016-10-01 22:31:26,FALSE,782119959820439552,782347217784844288,1339835893,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",jstinson22,0,FALSE,FALSE,NA,NA
3012,"RT @AmericanMex067: Not only does @HillaryClinton hate #BasementDwellers, the hypocrite likes to build walls around them. https://t.co/rGkk",FALSE,0,NA,2016-10-01 22:31:26,FALSE,NA,782347217008992256,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1tara1,1144,TRUE,FALSE,NA,NA
3013,.@FoxNews @HillaryClinton will burn through what's left of the economy like the sun did to @GovMikeHuckabee,FALSE,0,FoxNews,2016-10-01 22:31:21,FALSE,782332282832982016,782347195404079104,1367531,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",de2425,0,FALSE,FALSE,NA,NA
3014,"@thehill @realDonaldTrump @HillaryClinton @CNN @andersoncooper down theory of economics, which in over 4000 yrs has always failed the...",FALSE,0,Thestructureman,2016-10-01 22:31:19,FALSE,782346738094923776,782347188131147777,1416765386,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thestructureman,0,FALSE,FALSE,NA,NA
3015,"RT @TeamTrump: SECRET AUDIO: If you thought #Deplorables was bad, hear what @HillaryClinton had to say about the #BasementDwellers https://",FALSE,0,NA,2016-10-01 22:31:18,FALSE,NA,782347183882375168,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Debbierg51,1509,TRUE,FALSE,NA,NA
3016,"RT @FoxNews: .@gehrig38 Rips @HillaryClinton: 'She's the Epitome of a Very Bad, Evil Human Being' https://t.co/A1sNJ02ejD https://t.co/bKI3",FALSE,0,NA,2016-10-01 22:31:18,FALSE,NA,782347183244713984,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",AZ_Susan,1067,TRUE,FALSE,NA,NA
3017,RT @TeamTrump: .@HillaryClinton thinks you're #BasementDwellers and #Deplorables. @realDonaldTrump thinks you're PATRIOTS. https://t.co/JJl,FALSE,0,NA,2016-10-01 22:31:18,FALSE,NA,782347183001481216,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",deoninafrica,1222,TRUE,FALSE,NA,NA
3018,"@cwilhelm2014 Hi,I just followed you,and together  we can help elect @HillaryClinton as President,Please follow back,Thx in advance",FALSE,0,cwilhelm2014,2016-10-01 22:31:15,FALSE,NA,782347170125078529,2680865160,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BeatDonaldTrump,0,FALSE,FALSE,NA,NA
3019,RT @SSNjl: @atensnut @AACONS And @HillaryClinton Could Not Care Less. Hillary is Evil.,FALSE,0,NA,2016-10-01 22:31:14,FALSE,NA,782347167172268032,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",spiderella79,3,TRUE,FALSE,NA,NA
