,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1001,RT @ProtoAtheist: @Bencjacobs @HillaryClinton Are dollar signs considered emojis?,FALSE,0,NA,2016-10-01 23:26:09,FALSE,NA,782360986766442500,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LisaLoni14,3,TRUE,FALSE,NA,NA
1002,"RT @FoxNews: While talking to @UmaPemmaraju, @RealBenCarson talked about @HillaryClinton, Benghazi, and the server scandal. https://t.co/YU",FALSE,0,NA,2016-10-01 23:26:05,FALSE,NA,782360968844025856,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",nonsumdignus,1088,TRUE,FALSE,NA,NA
1003,"RT @FoxNews: .@GovMikeHuckabee: ""@HillaryClinton is an elitist snob. She believes she's smarter than you."" https://t.co/Ko5R6Lx8SD",FALSE,0,NA,2016-10-01 23:26:04,FALSE,NA,782360967871131648,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pennypaquette,843,TRUE,FALSE,NA,NA
1004,"RT @latinaafortrump: Wait I thought #LoveTrumpsHate 
@HillaryClinton behind the scenes you hate us because we are aware of your corruption.",FALSE,0,NA,2016-10-01 23:26:04,FALSE,NA,782360967032078336,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dbschafer1,2132,TRUE,FALSE,NA,NA
1005,RT @HillarySupport: a beautiful and composed debate from @HillaryClinton proud to support her #ImWithher #debatenight #debates,FALSE,0,NA,2016-10-01 23:26:03,FALSE,NA,782360960652550144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bigunc47,2,TRUE,FALSE,NA,NA
1006,RT @latinaafortrump: Why is @HillaryClinton above the law? Why is she so privileged? We must stop this madness! We won't surrender our coun,FALSE,0,NA,2016-10-01 23:25:56,FALSE,NA,782360934014525440,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RedReal,1225,TRUE,FALSE,NA,NA
1007,"RT @TeamTrump: Top 13 Revelations in @politico Story on @HillaryClinton's Email Interview Transcripts 
https://t.co/lbcB1JRhZT https://t.co",FALSE,0,NA,2016-10-01 23:25:51,FALSE,NA,782360909603807232,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BillKristol1,994,TRUE,FALSE,NA,NA
1008,RT @AmericanMex067: What's wrong w/ #BasementDwellers? @HillaryClinton &amp; @TheDemocrats ruined the economy. What choice do they have?,FALSE,0,NA,2016-10-01 23:25:45,FALSE,NA,782360886593937408,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",lulupink12,464,TRUE,FALSE,NA,NA
1009,@HillaryClinton no such thing as free U raises our taxes will pay for it Y not just interest free so it doesn't take a lifeX to pay it back,FALSE,0,HillaryClinton,2016-10-01 23:25:45,FALSE,782359247984222209,782360884442173440,1339835893,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chrissy_berens,0,FALSE,FALSE,NA,NA
1010,"RT @latinaafortrump: Wait I thought #LoveTrumpsHate 
@HillaryClinton behind the scenes you hate us because we are aware of your corruption.",FALSE,0,NA,2016-10-01 23:25:44,FALSE,NA,782360880130301952,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tkamal147,2132,TRUE,FALSE,NA,NA
